20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak height;20250402_PMA_tp24_dbgi_mapp_stdby.mzML Peak height;20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak height;20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak height;annotation network number;auto MS2 verify;best ion;canopus_adduct;canopus_alignedFeatureId;canopus_ClassyFire#all classifications;canopus_ClassyFire#class;canopus_ClassyFire#class Probability;canopus_ClassyFire#level 5;canopus_ClassyFire#level 5 Probability;canopus_ClassyFire#most specific class;canopus_ClassyFire#most specific class Probability;canopus_ClassyFire#subclass;canopus_ClassyFire#subclass Probability;canopus_ClassyFire#superclass;canopus_ClassyFire#superclass probability;canopus_formulaId;canopus_formulaRank;canopus_ionMass;canopus_molecularFormula;canopus_NPC#class Probability;canopus_NPC#pathway Probability;canopus_NPC#superclass Probability;canopus_npc_class;canopus_npc_pathway;canopus_npc_superclass;canopus_overallFeatureQuality;canopus_precursorFormula;canopus_retentionTimeInMinutes;canopus_retentionTimeInSeconds;charge;component;correlation group ID;gnps_Adduct;gnps_CAS_Number;gnps_Charge;gnps_class;gnps_Compound_Name;gnps_Compound_Source;gnps_Data_Collector;gnps_ExactMass;gnps_FileScanUniqueID;gnps_IK2D;gnps_INCHI;gnps_INCHI_AUX;gnps_InChIKey;gnps_Instrument;gnps_Ion_Source;gnps_IonMode;gnps_LibMZ;gnps_Library_Class;gnps_library_usi;gnps_LibraryName;gnps_LibraryQualityString;gnps_MassDiff;gnps_mn_#Scan#;gnps_mn_component;gnps_mn_Compound_Name;gnps_mn_parent mass;gnps_mn_RTMean;gnps_molecular_formula;gnps_MQScore;gnps_MZErrorPPM;gnps_npc_class;gnps_npc_pathway;gnps_npc_superclass;gnps_NumberHits;gnps_Organism;gnps_PI;gnps_Precursor_MZ;gnps_Pubmed_ID;gnps_RT_Query;gnps_SharedPeaks;gnps_SMILES;gnps_SpecCharge;gnps_SpecMZ;gnps_SpectrumFile;gnps_SpectrumID;gnps_subclass;gnps_superclass;gnps_tags;gnps_TIC_Query;gnps_UpdateWorkflowName;identified by n=;isdb_adduct;isdb_component_id;isdb_final_score;isdb_freq_structure_taxonomy_npclassifier_01pathway;isdb_freq_structure_taxonomy_npclassifier_02superclass;isdb_freq_structure_taxonomy_npclassifier_03class;isdb_IK2D;isdb_libname;isdb_matched_class;isdb_matched_domain;isdb_matched_family;isdb_matched_genus;isdb_matched_kingdom;isdb_matched_order;isdb_matched_phylum;isdb_matched_species;isdb_matched_tribe;isdb_msms_score;isdb_npc_class;isdb_npc_pathway;isdb_npc_superclass;isdb_organism_name;isdb_organism_taxonomy_01domain;isdb_organism_taxonomy_02kingdom;isdb_organism_taxonomy_03phylum;isdb_organism_taxonomy_04class;isdb_organism_taxonomy_05order;isdb_organism_taxonomy_06family;isdb_organism_taxonomy_07tribe;isdb_organism_taxonomy_08genus;isdb_organism_taxonomy_09species;isdb_organism_taxonomy_10varietas;isdb_organism_taxonomy_ottid;isdb_organism_wikidata;isdb_rank_final;isdb_rank_spec;isdb_score_max_consistency;isdb_score_taxo;isdb_SMILES;isdb_structure_exact_mass;isdb_structure_inchi;isdb_structure_inchikey;isdb_structure_molecular_formula;isdb_structure_nameTraditional;isdb_structure_taxonomy_npclassifier_01pathway_consensus;isdb_structure_taxonomy_npclassifier_02superclass_consensus;isdb_structure_taxonomy_npclassifier_03class_consensus;isdb_structure_wikidata;library_compound_name;library_InChI;library_SMILES;mz;name;neutral M mass;partners;row CCS;row ion mobility;row ion mobility unit;row m/z;row retention time;rt;rt_min;selected;shared name;sirius_adduct;sirius_alignedFeatureId;sirius_ConfidenceScoreApproximate;sirius_ConfidenceScoreExact;sirius_CSI:FingerIDScore;sirius_dbflags;sirius_formulaId;sirius_formulaRank;sirius_IK2D;sirius_InChI;sirius_ionMass;sirius_links;sirius_molecularFormula;sirius_name;sirius_overallFeatureQuality;sirius_precursorFormula;sirius_pubchemids;sirius_retentionTimeInMinutes;sirius_retentionTimeInSeconds;sirius_SiriusScore;sirius_SiriusScoreNormalized;sirius_SMILES;sirius_structurePerIdRank;sirius_xlogp;sirius_ZodiacScore;sources_IK2D;sources_npc_class;sources_npc_pathway;sources_npc_superclass;sources_number_IK2D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2610398.5;3116542.2;3014824;2359235.2;2709985.5;2743265.5;2855762.5;0;2865045.8;2960202;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;4705449.5;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049490;1.12E+07;1.34E+07;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;16;;;;;;;;;;;;;;;;;;;;;;;;;16;;571.6872096;3.8687627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571.6872;1840;;;;;;571.6872096;3.8687627;3.87;3.87;false;1840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;2.28E+07;0;0;0;0;0;0;0;;;;[M + Na]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1952919.5;0;0;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5791551;3775316;4537011;0;0;0;0;0;4945366;2.05E+07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;287;;M+Na;2114454;1;;CAMPTOTHECIN;Commercial;Vicky Anderson;348.111;temp/spectra_filtered.mgf3357;VSJKWCGYPAHWDS;"""""""InChI=1S/C20H16N2O4/c1-2-20(25)14-8-16-17-12(7-11-5-3-4-6-15(11)21-17)9-22(16)18(23)13(14)10-26-19(20)24/h3-8,25H,2,9-10H2,1H3""""""";;VSJKWCGYPAHWDS-UHFFFAOYSA-N;Orbitrap;ESI;Positive;371.1;1;mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00011427902;LEAFBOT.mgf;Gold;0.00579834;3357;287;CAMPTOTHECIN;371.1057864;9.659383;C20H16N2O4;0.917101;15.6247;Pyrroloquinoline alkaloids;Alkaloids;Tryptophan alkaloids;1;LEAFBOT;Cech;371.1;;0;13;CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O;1;371.106;spectra_filtered.mgf;CCMSLIB00011427902;;;;2534310;UPDATE-SINGLE-ANNOTATED-GOLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CAMPTOTHECIN;"""InChI=1S/C20H16N2O4/c1-2-20(25)14-8-16-17-12(7-11-5-3-4-6-15(11)21-17)9-22(16)18(23)13(14)10-26-19(20)24/h3-8,25H,2,9-10H2,1H3""";CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O;371.1058;3357;;;;;;371.1057864;9.659383;9.66;9.66;false;3357;;;;;;;;;;;;;;;;;;;;;;;;;;gnps;gnps;gnps;gnps;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;5078361;0;0;0;2888319;2909190;0;2676989;0;;;;[M - H2O + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;3782303;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;2512688.5;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1.67E+07;5798766;0;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4.48E+07;0;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1359100.8;0;1467721.5;0;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.13E+07;0;0;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;5877253.5;0;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1662143.4;0;2423488;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2067927.6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;420;;;;;;;;;;;;;;;;;;;;;;;;;420;;673.2728967;9.55777;;;;;;;;;;;;;;;;;;;;;;;;;;420;7.345042348;0.5;0.5;0.5;HLCQNKQLAGJUPK;ISDB;['Magnoliopsida'];['Eukaryota'];;;['Archaeplastida'];;['Streptophyta'];;;0.4612606;Nagilactone diterpenoids;Terpenoids;Diterpenoids;Morella nagi;['Eukaryota'];['Archaeplastida'];['Streptophyta'];['Magnoliopsida'];['Fagales'];['Myricaceae'];['Unknown'];['Myrica'];['Myrica nagi'];;660989;http://www.wikidata.org/entity/Q93388070;1;5;3;4;CC(C)c1oc(=O)cc2c1C(O)[C@@H]1OC(=O)[C@]3(C)CC[C@@H](O[C@@H]4O[C@@H](CO[C@@H]5O[C@@H](CO)[C@@H](O)[C@H](O)C5O)[C@@H](O)[C@H](O)C4O)[C@@]2(C)[C@H]13;672.2629353;InChI=1S/C31H44O16/c1-10(2)24-16-11(7-15(33)46-24)31(4)14(5-6-30(3)26(31)25(19(16)36)47-29(30)41)45-28-23(40)21(38)18(35)13(44-28)9-42-27-22(39)20(37)17(34)12(8-32)43-27/h7,10,12-14,17-23,25-28,32,34-40H,5-6,8-9H2,1-4H3/t12-,13-,14+,17+,18+,19?,20-,21-,22?,23?,25-,26+,27+,28-,30+,31-/m0/s1;HLCQNKQLAGJUPK-KAHMRSRISA-N;C31H44O16;Nagilactoside E;Shikimates and Phenylpropanoids;Diterpenoids;Nagilactone diterpenoids;http://www.wikidata.org/entity/Q105030084;;;;673.2729;3322;;;;;;673.2728967;9.55777;9.56;9.56;false;3322;;;;;;;;;;;;;;;;;;;;;;;;;;isdb;isdb;isdb;isdb;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;3.75E+07;0;0;0;0;0;0;0;;;;[M - H2O + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4039782.2;0;0;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827250.9;0;0;0;0;0;0;0;0;0;;;;[M - H2O + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2065466.9;0;0;0;0;0;0;0;0;0;;;;[M + H3N + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;2278573.2;0;0;;;;[M - H2O + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1.23E+07;0;0;0;0;0;0;0;0;;;;[M + Na]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5187506;1018379.5;5369004;0;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;4618711;0;0;0;0;0;0;;;;[M + H]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;8778890;0;0;0;0;0;0;0;;;;[M + Na]+;7.08E+17;Organic compounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
