row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
128;705.1857371;0.4293069;0;0;747993.06
129;128.0707923;0.42983425;624249.44;2029375.1;0
130;146.0810944;0.42983425;7773190.5;2.82E+08;0
131;176.0760587;0.4312803;112764.586;0;0
132;176.0822605;0.4312803;190100.19;0;0
133;176.1038885;0.4312803;229787.42;0;0
134;398.1290126;0.4312803;68040.94;0;0
135;381.0790925;0.43223485;3998596.5;6671168;1.10E+07
136;383.0774761;0.43223485;271081.8;484904.12;832963.8
137;160.0970029;0.4349133;1.71E+07;1.20E+07;50996.59
138;146.0728554;0.43625686;0;1813609.9;0
139;318.1546365;0.43625686;0;145043.72;0
140;138.064802;0.437186;0;0;387092.7
141;138.1421809;0.437186;0;0;386068.2
142;139.0524452;0.437186;0;0;332757.88
143;140.0589081;0.437186;0;0;373466.53
144;160.0371107;0.437186;0;0;222874.66
145;205.0821746;0.437186;0;0;109983.3
146;228.0503794;0.437186;0;0;122772.68
147;274.1875764;0.437186;0;0;73272.63
148;275.1034053;0.437186;0;0;1694223.9
149;275.1236066;0.437186;0;0;1.11E+07
150;289.1029868;0.437186;0;0;3109621.2
151;302.144795;0.437186;0;0;138802.42
152;332.1556607;0.437186;0;0;121815.15
153;432.1720248;0.437186;0;0;152089.92
154;462.1819578;0.437186;0;0;138924.53
155;684.2562837;0.437186;0;0;721274.5
156;138.0549722;0.4375362;2.67E+07;3.25E+07;1.11E+08
157;137.9693797;0.43817586;65619.28;0;554408.44
158;138.0467192;0.43817586;152692.44;0;686751.56
159;160.1073666;0.43916568;95841.32;0;0
160;302.0272037;0.43916568;108515.17;0;0
161;302.0871056;0.43916568;73540.58;0;0
162;320.0974796;0.43916568;308587.25;0;0
163;338.1078307;0.43916568;174425.19;0;0
164;177.0618324;0.4416477;821843.06;86072.98;0
165;142.0863702;0.44173104;4237118.5;210171.81;0
166;246.0608829;0.4421227;1241062.9;0;454319.7
167;198.0973041;0.44280005;135663.1;138584.33;690095.5
168;136.0757937;0.4441297;0;1397576;0
169;146.1015769;0.4441297;0;135427.2;0
170;154.0863993;0.4441297;0;992714.2;0
171;172.0967768;0.4441297;0;2.12E+07;0
172;278.1232688;0.4441297;0;124518.11;0
173;285.180631;0.4441297;0;93964.45;0
174;138.0618697;0.44506302;0;0;845183.56
175;138.0681038;0.44506302;0;0;140504.45
176;272.1343202;0.44506302;0;0;90324.305
177;491.1805496;0.44506302;0;0;40482.08
178;545.1333803;0.44506302;0;0;69103.82
179;162.0762294;0.44540834;2542290.2;409103.88;71462.445
180;261.0371183;0.4460612;216101.34;0;88473.72
181;161.0933331;0.44705936;64294.79;0;0
182;178.0710612;0.44705936;129233.51;0;0
183;247.0654124;0.44705936;90123.164;0;0
184;286.0920224;0.44705936;182482.6;0;0
185;488.1973432;0.44705936;421029.72;0;0
186;504.1916794;0.44705936;115733.516;0;0
187;707.2212992;0.44705936;129725.164;0;0
188;204.0867699;0.44804582;193697.34;283630.62;1074360.8
189;330.1395481;0.4485401;0;1141092.5;882971.2
