row ID,row m/z,row retention time,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,
70,183.11623711178018,0.36550632,0,0,0,0,0,0,0,0,85130.68,
71,263.8889848051802,0.36550632,0,0,0,0,0,0,0,0,60042.383,
72,289.89360356290945,0.36550632,0,0,0,0,0,0,0,0,290856.28,
73,624.6861037405192,0.36550632,0,0,0,0,0,0,0,0,143404.14,
74,768.6080487388297,0.36550632,0,0,0,0,0,0,0,0,62731.53,
75,143.95713026989955,0.36562848,0,0,0,0,0,0,0,93854.19,97322.0,
76,157.97399841907435,0.36562848,0,0,0,0,0,0,0,333375.6,318488.0,
77,180.9900109171008,0.36562848,0,0,0,0,0,0,0,5177315.0,5302669.0,
78,182.968660851478,0.36562848,0,0,0,0,0,0,0,166737.39,167392.78,
79,222.01632848872185,0.36562848,0,0,0,0,0,0,0,50413.2,59918.82,
80,146.96131906786314,0.36563683,0,0,0,0,0,0,0,186889.08,176460.64,
81,241.02673683371327,0.36562848,0,0,0,0,0,0,0,187578.7,182772.5,
82,242.8907706910682,0.36562848,0,0,0,0,0,0,0,96088.914,98430.12,
83,203.9041036487777,0.36563683,0,0,0,0,0,0,0,220260.5,188789.81,
84,303.90418010532335,0.36562848,0,0,0,0,0,0,0,322403.6,290091.88,
85,304.91463730072434,0.36562848,0,0,0,0,0,0,0,151851.47,127928.24,
86,318.7920043884733,0.36562848,0,0,0,0,0,0,0,1155273.1,1126948.6,
87,327.9195750959916,0.36562848,0,0,0,0,0,0,0,509154.72,480155.94,
88,336.8024836976988,0.36562848,0,0,0,0,0,0,0,1318182.9,1314562.8,
89,254.88845414379887,0.36563683,0,0,0,0,0,0,0,89183.42,98686.38,
90,357.8232281899035,0.36562848,0,0,0,0,0,0,0,521551.88,496909.72,
91,359.8184860541719,0.36562848,0,0,0,0,0,0,0,2699098.8,2594834.0,
92,405.82316111278203,0.36562848,0,0,0,0,0,0,0,852656.75,821130.06,
93,462.7270298800277,0.36562848,0,0,0,0,0,0,0,298257.72,296534.2,
94,464.72268819387017,0.36562848,0,0,0,0,0,0,0,1187332.5,1129531.6,
95,477.75454065008444,0.36562848,0,0,0,0,0,0,0,541326.94,509344.6,
96,505.74909371915373,0.36562848,0,0,0,0,0,0,0,1792199.1,1661560.4,
97,510.72617478872127,0.36562848,0,0,0,0,0,0,0,103707.09,85667.45,
98,554.6625594626923,0.36562848,0,0,0,0,0,0,0,328736.7,321918.22,
99,580.6619350165256,0.36562848,0,0,0,0,0,0,0,258309.69,250859.33,
100,651.6793513363396,0.36562848,0,0,0,0,0,0,0,283570.2,247007.22,
101,700.5918758233822,0.36562848,0,0,0,0,0,0,0,202815.06,201860.28,
102,824.5227894547219,0.36562848,0,0,0,0,0,0,0,89738.08,72122.96,
103,826.5176363684054,0.36562848,0,0,0,0,0,0,0,418026.5,375198.94,
104,828.5127291456552,0.36562848,0,0,0,0,0,0,0,974498.44,880052.94,
105,946.4465064067504,0.36562848,0,0,0,0,0,0,0,184876.17,169865.12,
106,127.9669627734739,0.36575064,0,0,0,0,0,0,0,51907.0,0,
107,135.99206078681843,0.36575064,0,0,0,0,0,0,0,101134.69,0,
108,141.94740416630592,0.36575064,0,0,0,0,0,0,0,84721.875,0,
109,142.04916976508088,0.36575064,0,0,0,0,0,0,0,52927.656,0,
110,334.8070963611083,0.36575064,0,0,0,0,0,0,0,233197.62,0,
111,337.8040178072537,0.36575064,0,0,0,0,0,0,0,128883.234,0,
112,400.8447856217077,0.36575064,0,0,0,0,0,0,0,421073.5,0,
113,406.82395877487875,0.36575064,0,0,0,0,0,0,0,123946.9,0,
114,434.7324048405667,0.36575064,0,0,0,0,0,0,0,92840.1,0,
115,436.7275709581724,0.36575064,0,0,0,0,0,0,0,376346.84,0,
116,475.75898607757017,0.36575064,0,0,0,0,0,0,0,134348.92,0,
117,504.75357823278256,0.36575064,0,0,0,0,0,0,0,110618.516,0,
118,582.6571478392132,0.36575064,0,0,0,0,0,0,0,845757.2,0,
119,621.6889642208181,0.36575064,0,0,0,0,0,0,0,246214.61,0,
120,623.6843476481677,0.36575064,0,0,0,0,0,0,0,825112.1,0,
121,769.6130956698464,0.36575064,0,0,0,0,0,0,0,100354.69,0,
122,800.5176098171966,0.36575064,0,0,0,0,0,0,0,106250.414,0,
123,918.451860056506,0.36575064,0,0,0,0,0,0,0,170226.39,0,
124,943.4453863800115,0.36575064,0,0,0,0,0,0,0,66537.914,0,
125,312.9431265546975,0.36917764,0,236394.77,0,0,0,0,0,0,67858.695,
126,137.00011107629103,0.36956805,0,0,0,0,0,0,0,56556.01,62051.69,
127,131.97432602640373,0.36957115,0,0,0,0,0,0,0,277700.75,267063.62,
128,139.96333652357998,0.36957115,0,0,0,0,0,0,0,2173323.8,2110281.0,
129,152.99507768726488,0.36957115,0,0,0,0,0,0,0,1220032.4,1160937.9,
130,158.9851378158506,0.36957115,0,0,0,0,0,0,0,75324.62,75011.78,
131,182.96493416778407,0.36957115,0,0,0,0,0,0,0,98060.39,87547.65,
132,184.98953409783024,0.36957115,0,0,0,0,0,0,0,344038.53,353627.53,
133,218.86673926044983,0.36956805,0,0,0,0,0,0,0,112742.99,95636.02,
134,201.86528552563672,0.36957115,0,0,0,0,0,0,0,114895.28,105860.12,
135,224.01173104586735,0.36957115,0,0,0,0,0,0,0,1175854.6,1146492.2,
136,257.8986586869429,0.36956805,0,0,0,0,0,0,0,168788.88,154679.48,
137,244.86686571221202,0.36957115,0,0,0,0,0,0,0,243335.3,231812.53,
138,247.8633779759761,0.36957115,0,0,0,0,0,0,0,101810.45,111950.44,
