CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
148	582	3	0.7878	-67.038
1304	1347	3	0.7129	-286.049
1304	1439	3	0.7661	286.048
1304	1442	3	0.8297	-0.000
1304	1461	3	0.8176	-286.049
1304	1654	3	0.8099	-0.001
945	1142	3	0.7278	2.016
945	1149	3	0.7087	-575.115
945	1153	3	0.8029	-286.047
945	1331	3	0.8148	2.017
945	1347	3	0.7376	4.031
424	582	3	0.9325	-14.016
582	611	3	0.8886	-31.019
582	1287	3	0.8839	-122.962
1035	1229	3	0.9329	-14.016
1035	1320	3	0.9288	190.011
1220	1320	3	0.9049	15.995
1272	1320	3	0.8986	44.026
1287	1320	3	0.8834	15.995
1320	1458	3	0.9165	0.000
1320	1566	3	0.8064	-86.000
1035	1566	3	0.8036	104.011
1159	1566	3	0.748	-110.022
1372	1566	3	0.8019	60.057
1566	2211	3	0.828	1.979
1142	1331	3	0.7548	0.001
1153	1331	3	0.8233	288.064
1234	1331	3	0.7305	288.064
1331	1347	3	0.7871	2.014
718	789	3	0.736	27.995
756	789	3	0.7859	30.010
789	897	3	0.743	-14.016
789	954	3	0.7298	-70.042
624	756	3	0.7138	-58.005
718	756	3	0.8595	-2.015
756	766	3	0.7242	-68.027
756	897	3	0.7809	15.995
756	954	3	0.8255	-40.032
1272	1913	3	0.9775	0.000
1275	1913	3	0.9451	146.058
1287	1913	3	0.8918	-28.031
1458	1913	3	0.9164	-44.027
1520	1913	3	0.8886	-60.021
1913	1914	3	0.9407	-146.058
1220	1287	3	0.9633	-0.000
1268	1287	3	0.9069	13.979
1272	1287	3	0.898	28.031
1287	1458	3	0.9395	15.995
611	1287	3	0.8987	-91.943
1142	1153	3	0.7702	-288.063
1149	1153	3	0.8189	289.069
1153	1347	3	0.7496	290.078
1142	1149	3	0.731	-577.132
1142	1234	3	0.7103	-288.063
718	954	3	0.8218	-42.047
897	954	3	0.717	-56.027
1347	1442	3	0.7247	286.049
1347	1654	3	0.724	286.049
1149	1234	3	0.7751	289.069
1272	1914	3	0.9439	-146.058
1275	1914	3	0.9874	0.000
1372	1914	3	0.8829	-44.027
1373	1914	3	0.7493	-22.044
624	2211	3	0.7228	-185.998
1220	1272	3	0.9131	-28.031
1272	1275	3	0.9421	-146.058
1272	1458	3	0.9124	44.027
1272	1520	3	0.8954	60.021
1139	1439	3	0.7141	288.062
1139	1654	3	0.7226	2.014
424	611	3	0.8716	-45.035
611	1220	3	0.9144	-91.943
611	1458	3	0.9086	-75.947
1035	1159	3	0.8374	214.032
1035	1372	3	0.8388	43.954
1220	1268	3	0.9183	-13.979
1220	1458	3	0.9553	15.995
1458	1520	3	0.9053	15.995
1275	1373	3	0.7518	22.044
1373	1915	3	0.7491	-44.026
1159	1162	3	0.7434	-213.975
1159	1372	3	0.7696	-170.079
1160	1439	3	0.7395	-2.016
624	718	3	0.7268	-55.990
718	897	3	0.7195	13.979
1439	1654	3	0.7526	-286.048
1345	1654	3	0.7325	-288.064
1275	1372	3	0.8838	44.027
1220	1520	3	0.9067	31.990
1442	1654	3	0.7809	-0.000
1461	1654	3	0.7563	286.048
1442	1461	3	0.8146	-286.049
3850	3870	4	0.828	-0.141
1049	1834	5	0.9495	0.000
1090	1834	5	0.9479	0.000
1173	1834	5	0.952	0.000
1406	1834	5	0.9476	-0.000
1666	1834	5	0.9814	0.000
1728	1834	5	0.9376	-0.000
1834	1981	5	0.9347	-0.000
1834	2013	5	0.9477	-0.000
708	1834	5	0.9414	0.000
977	1834	5	0.9509	-0.000
708	977	5	0.9601	0.000
760	977	5	0.9655	0.000
824	977	5	0.9626	0.000
977	1049	5	0.9656	-0.000
977	1090	5	0.9704	-0.000
977	1173	5	0.9674	-0.000
977	1406	5	0.9657	0.000
977	1728	5	0.9532	-0.000
977	2013	5	0.9606	-0.000
1981	2300	5	0.9396	-0.000
2156	2300	5	0.9098	-0.000
2229	2300	5	0.9233	-0.000
2259	2300	5	0.9254	-0.000
2300	2393	5	0.922	0.000
2259	2446	5	0.9536	-0.000
2393	2446	5	0.9216	-0.000
1049	1728	5	0.9822	0.000
1090	1728	5	0.9526	0.000
1173	1728	5	0.9522	0.000
1406	1728	5	0.9518	-0.000
1728	1981	5	0.9295	-0.000
1728	2013	5	0.95	-0.000
708	1728	5	0.9397	0.000
760	1728	5	0.924	0.000
824	840	5	0.9241	0.943
840	1232	5	0.9317	-0.943
1512	2229	5	0.9423	-0.000
2156	2229	5	0.9221	0.000
2210	2229	5	0.9269	-0.000
2229	2259	5	0.9383	-0.000
2229	2393	5	0.9381	0.000
1512	2210	5	0.9286	-0.000
708	760	5	0.9355	-0.000
708	824	5	0.9371	-0.000
708	1049	5	0.9506	-0.000
708	1090	5	0.9531	0.000
708	1173	5	0.9542	-0.000
708	1406	5	0.9517	0.000
708	2013	5	0.9493	-0.000
2156	2259	5	0.9562	0.000
2156	2393	5	0.925	0.000
1049	1173	5	0.9643	-0.000
1090	1173	5	0.9659	-0.000
1173	1406	5	0.9655	0.000
1173	1981	5	0.944	0.000
1173	2013	5	0.9626	-0.000
824	1173	5	0.9416	0.000
1049	1981	5	0.9491	-0.000
1406	1981	5	0.9503	-0.000
1981	2013	5	0.9509	-0.000
1981	2366	5	0.9355	-0.000
2210	2259	5	0.9336	-0.000
2259	2393	5	0.9442	0.000
760	824	5	0.9709	0.000
760	1049	5	0.9427	0.000
760	1090	5	0.9525	0.000
760	2092	5	0.9341	0.000
1049	1090	5	0.9658	0.000
1090	1406	5	0.9683	0.000
1090	2013	5	0.9644	-0.000
824	1090	5	0.9503	0.000
1049	2013	5	0.9619	-0.000
1406	2013	5	0.9682	-0.000
2013	2366	5	0.9432	-0.000
2210	2393	5	0.9367	0.000
1049	1406	5	0.9651	0.000
824	1406	5	0.9426	0.000
824	2092	5	0.942	0.000
2077	2117	6	0.8051	-18.010
2116	2117	6	0.8238	-18.011
