cluster index	parent mass	RTMean
1	183.07846539273345	0.0853139
2	167.97743660081483	0.10511201
3	171.149584122951	0.11203245
4	200.16490069548288	0.1301448
5	137.98730931879385	0.16458496
6	139.98255820242875	0.18420851
7	190.9933037297261	0.19351368
8	167.97741930514394	0.20293063
9	217.9598081665277	0.22957696
10	162.9984720749022	0.24359949
11	137.9873523953763	0.24709173
12	199.9882774812783	0.27595425
13	214.1804583254758	0.28477287
14	139.98815693170988	0.3101352
15	181.0148522984708	0.3101352
16	199.02967747085503	0.3101352
17	226.0124350603178	0.3101352
18	190.9933292435128	0.3167329
19	167.97747587709728	0.33323318
20	143.0398551564288	0.33424562
21	158.00318626355892	0.33661497
22	139.01817962117292	0.33753377
23	208.039676239198	0.33753377
24	146.16543724391664	0.34120753
25	130.00828493530315	0.341865
26	148.01880692646355	0.34229103
27	186.98129586634005	0.34231701
28	185.9836877225632	0.34713602
29	192.0620452776377	0.34816137
30	267.9019288272216	0.34988174
31	295.8968483816444	0.34988174
32	167.0131275794594	0.35118613
33	125.986566197273	0.3522738
34	137.9876074962359	0.35254112
35	251.929654647275	0.3527371
36	151.03553628230893	0.35573325
37	145.03554993490084	0.3561282
38	232.92887913629104	0.3570366
39	309.97474481053723	0.35738346
40	369.9248303279815	0.35738346
41	286.9587963375002	0.35773033
42	423.955509182503	0.35773033
43	439.93315098739663	0.35773033
44	235.95224312895388	0.35802504
45	123.04068991811184	0.36083674
46	128.01959217646777	0.36083674
47	143.99708898125485	0.36083674
48	216.9509340024699	0.36083674
49	218.9839077961184	0.36083674
50	223.9892129182539	0.36083674
51	239.96681426190852	0.36083674
52	241.99976052404296	0.36083674
53	257.9773503019763	0.36083674
54	265.01584370033964	0.36083674
55	280.9933792899724	0.36083674
56	169.0461243051172	0.36133134
57	200.9732776949054	0.36133134
58	234.96164645156352	0.36133134
59	255.9445478121836	0.36238992
60	288.921227018554	0.36410767
61	127.1233780689821	0.36562818
62	259.89399233316306	0.36562848
63	300.92051503794795	0.36562848
64	305.8994504449845	0.36562848
65	359.8184861066485	0.36562848
66	505.7490926187359	0.36562848
67	128.95096938170605	0.36957115
68	139.9633378135551	0.36957115
69	159.96924439489874	0.36957115
70	180.99001112203203	0.36957115
71	246.8620162482364	0.36957115
72	264.87287321383616	0.36957115
73	285.8934472343934	0.36957115
74	287.88862796868057	0.36957115
75	326.9200254444106	0.36957115
76	328.91516493640006	0.36957115
77	141.9587332908647	0.37066376
78	271.91658672294494	0.37065127
79	154.9903787125373	0.37066376
80	182.9852905472761	0.37066376
81	169.97754136232922	0.37329015
82	147.11314653526136	0.37355518
83	481.7252837108773	0.3774503
84	171.99310794904343	0.3785325
85	130.96660210873188	0.38138983
86	158.96153424643336	0.38138983
87	186.956440337828	0.38138983
88	276.8967398069426	0.38138983
89	304.89164765301	0.38138983
90	363.7893617702799	0.38138983
91	404.816145773725	0.38138983
92	148.97727540870503	0.38533252
93	176.97215776233156	0.38533252
94	156.96630633710947	0.38533667
95	199.98801076241	0.38533252
96	227.982869244914	0.38533252
97	408.7874530007225	0.38533252
98	449.81423421626505	0.38533252
99	189.16009260264363	0.38739765
100	216.9204216593917	0.39116225
101	244.9151606226297	0.39116225
102	191.16446990434784	0.39489713
103	213.1463986286232	0.39489713
104	213.0751793618996	0.39671758
105	225.1963372961055	0.39671758
106	251.0311318298797	0.39671758
107	224.01179507347103	0.3987123
108	202.04769657003075	0.39970136
109	175.11932861374177	0.40065658
110	162.99845593417476	0.40365747
111	181.01474208334213	0.40365747
112	164.09179460399477	0.40760338
113	171.0167834066797	0.40760338
114	208.972598085226	0.40760338
115	303.8837412086182	0.40916467
116	228.19613378008123	0.41240746
117	146.11692194958366	0.41262996
118	222.98846355042343	0.41262996
119	134.045183847038	0.41348618
120	176.0918052993909	0.41405416
121	146.0812822012467	0.41415364
122	144.9823356759704	0.414607
123	133.0609116150781	0.41549706
124	219.0267496911038	0.41699865
125	147.0766972427381	0.41843846
126	184.0735079805052	0.41846138
127	217.9598811598708	0.41896912
128	130.05007603276644	0.41912937
129	236.9388534753301	0.4204086
130	174.1125665606342	0.42051113
131	132.06592230217225	0.4214257
132	148.06046756418723	0.42177585
133	203.052919783747	0.4249756
134	138.05506676029287	0.42689547
135	147.08430162704664	0.42838818
136	168.0632712709433	0.42838818
137	184.0370760904404	0.42838818
138	308.13393183167665	0.42838818
139	280.99555977889	0.42922255
140	138.13831677872304	0.4293069
141	689.2117763179236	0.4293069
142	128.07079208233606	0.42983425
143	215.01754625166336	0.42983425
144	381.0790984651816	0.43486056
145	160.09700284681676	0.4349133
146	156.10215403375108	0.43625686
147	365.1054097268634	0.43624955
148	275.10310691814	0.43672144
149	138.14226146419193	0.437186
150	289.10300647149336	0.437186
151	684.2563073510669	0.437186
152	137.96942939518277	0.43817586
153	192.0866647182769	0.43916568
154	177.06183257199638	0.4416477
155	162.07622945899092	0.44277707
156	198.0973041827341	0.44280005
157	295.8969312356213	0.4436505
158	172.09677741827193	0.4441297
159	275.12363333235794	0.44431102
160	158.08131452579678	0.445581
161	246.0608867206426	0.4460612
162	224.8990668277081	0.44708458
163	488.1973100686489	0.44705936
164	247.9150326916592	0.44708458
165	519.1779827650918	0.44705936
166	204.08676979773	0.44804582
167	543.132422139179	0.4485349
168	136.07580166969592	0.45200676
169	154.08640404611083	0.45200676
170	261.1727029364138	0.45200676
171	360.1498510544824	0.45282453
172	127.0392890905148	0.45312318
173	343.1235984970924	0.45331037
174	387.03976453221645	0.45331037
175	325.1129242339514	0.45396218
176	145.0497982859849	0.45593953
177	330.13954913238763	0.45641714
178	522.2029220422246	0.45858184
179	527.1585483318513	0.45858184
180	139.98244236153752	0.46404377
181	175.10796667618723	0.46533293
182	158.11771209004425	0.46777123
183	160.13325680968669	0.46777123
184	184.0970876004996	0.46777123
185	186.11259998255528	0.46777123
186	200.12804698361728	0.46777123
187	202.1073638166989	0.46777123
188	216.12321753354533	0.46777123
189	173.09259504245534	0.4682681
190	236.14939620824924	0.4682681
191	136.06205358966375	0.46876496
192	209.1021705991879	0.46876496
193	226.1286814634909	0.46876496
194	344.1553458399223	0.46876496
195	144.10212643907292	0.46914148
196	130.08648485605636	0.4691526
197	142.08648848664996	0.4708321
198	256.0815574640998	0.4708321
199	340.12388742810714	0.47324646
200	128.1072291080138	0.47566077
201	231.08415382315889	0.47668362
202	439.17915693372566	0.47668362
203	257.8937771180882	0.4784454
