formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	0.988	0.333	20.806	18.268	2.538	2	0.957	-5.672	5.672	-107842.807		167.013	21	0.351	707548041356194288	707547788695499180	32	
1	C5H11N3O5S	[M - H2O + H]+	C5H10N3O4S+	0.364	0.332	32.835	32.835	0.000	10	0.293	2.391	3.134	-86567.907		208.040	21	0.351	707548054585029775	707547788146045320	23	
1	C3H7Cl2NO	[M - H2O + H]+	C3H6Cl2N+	0.976	0.333	18.165	15.976	2.188	2	0.876	-4.889	4.889	-142961.076		125.987	21	0.352	707548041809179182	707547788733247920	33	
1	C2H7NO3P2	[M - H2O + H]+	C2H6NO2P2+	0.993	0.008	2.900	1.591	1.309	2	0.062	7.494	7.494	-130517.391		137.988	21	0.353	707548068736612402	707547788770996660	34	
1	C5H11N3O6	[M - H2O + H]+	C5H10N3O5+	0.349	0.319	28.132	28.132	0.000	4	0.562	3.802	3.802	-93771.696		192.062	21	0.353	707548044636140273	707547788552892832	29	
1	C5H10Cl2N2O4Se	[M - H2O + H]+	C5H9Cl2N2O3Se+	0.786	0.002	30.422	30.422	0.000	11	0.260	3.901	3.929	-62335.856		288.921	21	0.354	707548062831031973	707547789697937948	60	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	0.984	0.645	36.920	36.920	0.000	5	0.627	4.960	4.960	2.105		151.036	21	0.356	707548043860193952	707547788846494140	36	
1	C3H6N4O4	[M - H2O + H]+	C3H5N4O3+	0.203	0.197	2.000	2.000	0.000	0	0.000			-124180.803		145.036	21	0.356	707548042471879271	707547788880048576	37	
1	C4H5Cl3N2O4	[M - H2O + H]+	C4H4Cl3N2O3+	0.944	0.333	41.198	39.427	1.771	6	0.376	0.790	2.252	-77319.249		232.929	21	0.357	707548052009727041	707547788917797316	38	
1	C7H12Cl3N3O5S2	[M - H2O + H]+	C7H11Cl3N3O4S2+	0.830	0.282	47.954	47.954	0.000	14	0.756	-1.134	1.294	-48687.843		369.925	21	0.357	707548086184918497	707547788989100492	40	
1	C10H7O9	[M + K]+	C10H7KO9+	0.968	0.974	64.280	64.280	0.000	11	0.502	-1.510	1.510	8.307		309.975	21	0.357	707548100206477813	707547788951351752	39	
1	C19H9Cl2NO4	[M + K]+	C19H9Cl2KNO4+	0.426	0.385	49.240	49.240	0.000	18	0.704	1.471	2.212	3.512		423.956	21	0.358	707548078198963037	707547789060403668	42	
1	C11H4O7	[M + K]+	C11H4KO7+	1.000	1.000	91.210	91.210	0.000	12	0.683	-1.602	1.934	-0.211		286.959	21	0.358	707548083651558706	707547789026849232	41	
1	C16H8BrN3O4S	[M + Na]+	C16H8BrN3NaO4S+	0.527	0.270	45.474	45.474	0.000	22	0.718	2.704	2.994	4.638		439.933	21	0.358	707548126303439286	707547789093958104	43	
1	C4H5FNO5P	[M + K]+	C4H5FKNO5P+	0.999	0.999	50.199	50.199	0.000	13	0.250	0.890	3.402	0.614		235.952	21	0.358	707548059064546667	707547789127512540	44	
1	C5H3BFNO	[M + H]+	C5H4BFNO+	0.467	0.333	29.385	29.385	0.000	4	0.514	8.361	8.361	4.955		123.041	22	0.361	707548040961929639	707547789161066976	45	
1	C3H7Cl2NO	[M + H]+	C3H8Cl2NO+	1.000	0.496	32.622	30.484	2.138	3	0.890	-5.895	5.895	-4.553		143.997	22	0.361	707548041280696793	707547789249147368	47	
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+	1.000	1.000	64.156	64.156	0.000	6	0.760	5.786	5.786	2.752		128.020	22	0.361	707548048125801432	707547789219787236	46	
1	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	0.972	0.974	65.019	65.019	0.000	13	0.822	2.697	2.744	3.766		218.984	22	0.361	707548059358147985	707547789320450544	49	
1	C5H3ClO6	[M + Na]+	C5H3ClNaO6+	1.000	1.000	58.460	58.460	0.000	8	0.300	-3.122	3.122	-0.489		216.951	22	0.361	707548062277383777	707547789282701804	48	
1	C7H4ClNO5	[M + Na]+	C7H4ClNNaO5+	0.769	0.410	42.559	42.559	0.000	8	0.183	-2.828	2.828	-0.878		239.967	22	0.361	707548074780604983	707547789391753720	51	
1	C8H7ClFNO3	[M + Na]+	C8H7ClFNNaO3+	0.960	0.830	68.253	68.253	0.000	11	0.457	2.539	2.539	2.853		242.000	22	0.361	707548076877757183	707547789429502460	52	
1	C4H7ClFN3O4S	[M + H3N + H]+	C4H11ClFN4O4S+	0.430	0.333	73.167	73.167	0.000	17	0.524	-0.862	1.204	-3.653		265.016	22	0.361	707548079968959523	707547789500805636	54	
